symbol,date,open,high,low,close,volume
BOAC,2025-10-01,7370,7370,7305,7305,10659
BOAC,2025-10-02,7300,7400,7300,7400,1637
BOAC,2025-10-03,7400,7480,7400,7480,6116
BOAC,2025-10-06,7410,7410,7400,7400,2909
BOAC,2025-10-07,7400,7400,7390,7390,4330
BOAC,2025-10-08,7390,7390,7350,7350,1432
BOAC,2025-10-09,7350,7350,7350,7350,5800
BOAC,2025-10-10,7300,7310,7300,7310,3681
BOAC,2025-10-13,7310,7330,7310,7330,2916
BOAC,2025-10-14,7310,7350,7310,7350,9329
BOAC,2025-10-15,7350,7350,7300,7300,5443
BOAC,2025-10-16,7300,7300,7270,7270,5419
BOAC,2025-10-17,7250,7290,7250,7290,14000
BOAC,2025-10-20,7290,7290,7285,7285,9220
BOAC,2025-10-21,7285,7285,7285,7285,9912
BOAC,2025-10-22,7290,7290,7290,7290,10072
BOAC,2025-10-23,7290,7290,7290,7290,3217
BOAC,2025-10-24,7290,7290,7200,7200,12281
BOAC,2025-10-27,7200,7200,7195,7195,13670
BOAC,2025-10-28,7195,7195,7150,7150,3066
BOAC,2025-10-29,7150,7150,7145,7145,4169
BOAC,2025-10-30,7060,7110,7060,7110,5017
BOAC,2025-10-31,7110,7150,7110,7150,5180
BOAC,2025-11-03,7095,7095,6960,6960,9141
BOAC,2025-11-04,6950,6950,6900,6900,7056
BOAC,2025-11-05,6800,6900,6800,6900,8748
BOAC,2025-11-06,6900,7200,6900,7200,16213
BOAC,2025-11-07,7060,7060,7060,7060,0
BOAC,2025-11-10,7190,7190,7050,7050,7783
BOAC,2025-11-11,7045,7185,7045,7185,3219
BOAC,2025-11-12,7185,7185,7180,7180,6166
BOAC,2025-11-13,7180,7250,7180,7250,1642
BOAC,2025-11-14,7200,7250,7200,7250,1994
BOAC,2025-11-17,7250,7250,7250,7250,1560
BOAC,2025-11-18,7140,7140,7105,7105,10599
BOAC,2025-11-19,7200,7250,7200,7250,220662
BOAC,2025-11-20,7295,7295,7295,7295,5372
BOAC,2025-11-21,7300,7300,7300,7300,2582
BOAC,2025-11-24,7300,7300,7295,7295,1762
BOAC,2025-11-25,7295,7295,7295,7295,5960
BOAC,2025-11-26,7290,7290,7290,7290,5343
BOAC,2025-11-27,7250,7290,7250,7290,1449
CBIBF,2025-09-29,9805,9805,9800,9800,372
CBIBF,2025-09-30,9800,9890,9800,9890,470
CBIBF,2025-10-01,9890,9890,9870,9870,452
CBIBF,2025-10-02,9900,9900,9800,9800,1259
CBIBF,2025-10-03,9870,9870,9845,9845,472
CBIBF,2025-10-06,9845,9850,9845,9850,1027
CBIBF,2025-10-07,9850,9870,9850,9870,3627
CBIBF,2025-10-08,9870,9870,9860,9860,1229
CBIBF,2025-10-09,9870,9890,9870,9890,295
CBIBF,2025-10-10,9870,9990,9870,9990,188
CBIBF,2025-10-13,9990,9990,9985,9985,449
CBIBF,2025-10-14,9985,9985,9985,9985,1154
CBIBF,2025-10-15,9880,9975,9880,9975,250
CBIBF,2025-10-16,9980,9980,9980,9980,296
CBIBF,2025-10-17,9980,9985,9980,9985,225
CBIBF,2025-10-20,9985,9995,9985,9995,1769
CBIBF,2025-10-21,9995,9995,9980,9980,158
CBIBF,2025-10-22,9995,9995,9980,9980,473
CBIBF,2025-10-23,9980,9980,9980,9980,120
CBIBF,2025-10-24,9975,9985,9975,9985,396
CBIBF,2025-10-27,9980,10000,9980,10000,1079
CBIBF,2025-10-28,10000,10000,10000,10000,7376
CBIBF,2025-10-29,9990,9995,9990,9995,1157
CBIBF,2025-10-30,10000,10000,9995,9995,702
CBIBF,2025-10-31,9900,9995,9900,9995,1435
CBIBF,2025-11-03,9995,9995,9995,9995,215
CBIBF,2025-11-04,9925,9925,9925,9925,1294
CBIBF,2025-11-05,9925,10000,9925,10000,1030
CBIBF,2025-11-06,10000,10000,10000,10000,362
CBIBF,2025-11-07,9990,9990,9990,9990,0
CBIBF,2025-11-10,9990,9990,9985,9985,616
CBIBF,2025-11-11,9990,9990,9985,9985,931
CBIBF,2025-11-12,10005,10005,9985,9985,277
CBIBF,2025-11-13,10000,10000,10000,10000,139
CBIBF,2025-11-14,10000,10020,10000,10020,427
CBIBF,2025-11-17,10020,10200,10020,10200,378
CBIBF,2025-11-18,10295,10500,10295,10500,2624
CBIBF,2025-11-19,10600,11100,10600,11100,5236
CBIBF,2025-11-20,11100,11100,10800,10800,296
CBIBF,2025-11-21,10800,11000,10800,11000,487
CBIBF,2025-11-24,11000,11000,11000,11000,412
CBIBF,2025-11-25,10800,10810,10800,10810,242
CBIBF,2025-11-26,10800,10950,10800,10950,583
CBIBF,2025-11-27,10750,10850,10750,10850,165
CIEC,2025-09-29,2295,2295,2295,2295,4911
CIEC,2025-09-30,2300,2305,2300,2305,2632
CIEC,2025-10-01,2305,2305,2305,2305,1386
CIEC,2025-10-02,2280,2350,2280,2350,4079
CIEC,2025-10-03,2350,2350,2350,2350,1392
CIEC,2025-10-06,2350,2350,2350,2350,2113
CIEC,2025-10-07,2350,2360,2350,2360,2151
CIEC,2025-10-08,2380,2400,2380,2400,4332
CIEC,2025-10-09,2420,2445,2420,2445,2038
CIEC,2025-10-10,2490,2495,2490,2495,4241
CIEC,2025-10-13,2495,2540,2495,2540,1650
CIEC,2025-10-14,2540,2540,2380,2380,40119
CIEC,2025-10-15,2375,2450,2375,2450,7432
CIEC,2025-10-16,2495,2495,2365,2365,5010
CIEC,2025-10-17,2365,2365,2315,2315,3532
CIEC,2025-10-20,2300,2420,2300,2420,4250
CIEC,2025-10-21,2485,2490,2485,2490,2288
CIEC,2025-10-22,2495,2495,2490,2490,3163
CIEC,2025-10-23,2495,2500,2495,2500,2599
CIEC,2025-10-24,2490,2500,2490,2500,3129
CIEC,2025-10-27,2500,2540,2500,2540,1381
CIEC,2025-10-28,2535,2535,2505,2505,4111
CIEC,2025-10-29,2520,2520,2500,2500,11512
CIEC,2025-10-30,2500,2530,2500,2530,949
CIEC,2025-10-31,2545,2590,2545,2590,4395
CIEC,2025-11-03,2560,2580,2560,2580,6790
CIEC,2025-11-04,2575,2580,2575,2580,4271
CIEC,2025-11-05,2580,2620,2580,2620,2850
CIEC,2025-11-06,2620,2620,2620,2620,1871
CIEC,2025-11-07,2615,2615,2615,2615,0
CIEC,2025-11-10,2620,2620,2615,2615,3446
CIEC,2025-11-11,2615,2615,2610,2610,2190
CIEC,2025-11-12,2600,2600,2600,2600,2371
CIEC,2025-11-13,2615,2615,2600,2600,4647
CIEC,2025-11-14,2505,2515,2505,2515,2934
CIEC,2025-11-17,2510,2610,2510,2610,1689
CIEC,2025-11-18,2610,2610,2600,2600,1576
CIEC,2025-11-19,2600,2640,2600,2640,996
CIEC,2025-11-20,2640,2640,2640,2640,1323
CIEC,2025-11-21,2515,2630,2515,2630,3473
CIEC,2025-11-24,2625,2625,2620,2620,891
CIEC,2025-11-25,2620,2620,2500,2500,18195
CIEC,2025-11-26,2500,2500,2500,2500,1600
CIEC,2025-11-27,2500,2500,2500,2500,1743
ECOC,2025-09-29,12505,12510,12505,12510,1780
ECOC,2025-09-30,12515,12515,12505,12505,1675
ECOC,2025-10-01,12300,12700,12300,12700,2085
ECOC,2025-10-02,12750,13000,12750,13000,982
ECOC,2025-10-03,13200,13200,12710,12710,724
ECOC,2025-10-06,12710,12710,12505,12505,6164
ECOC,2025-10-07,12505,13000,12505,13000,963
ECOC,2025-10-08,13100,13100,13080,13080,340
ECOC,2025-10-09,13100,13150,13100,13150,1186
ECOC,2025-10-10,13200,13200,13200,13200,750
ECOC,2025-10-13,13200,13250,13200,13250,569
ECOC,2025-10-14,13600,13600,13500,13500,963
ECOC,2025-10-15,13500,14300,13500,14300,8838
ECOC,2025-10-16,14300,14300,13750,13750,2487
ECOC,2025-10-17,13750,13810,13750,13810,846
ECOC,2025-10-20,13750,14000,13750,14000,2279
ECOC,2025-10-21,14000,14000,14000,14000,1601
ECOC,2025-10-22,14000,14000,14000,14000,503
ECOC,2025-10-23,14000,14175,14000,14175,335
ECOC,2025-10-24,14175,14175,14100,14100,11986
ECOC,2025-10-27,14200,14890,14200,14890,887
ECOC,2025-10-28,14890,14890,14725,14725,201
ECOC,2025-10-29,14750,14800,14750,14800,2202
ECOC,2025-10-30,14765,15150,14765,15150,1337
ECOC,2025-10-31,15015,15110,15015,15110,687
ECOC,2025-11-03,15110,15200,15110,15200,1743
ECOC,2025-11-04,15110,15200,15110,15200,3543
ECOC,2025-11-05,15990,15990,15500,15500,2508
ECOC,2025-11-06,15500,15700,15500,15700,3619
ECOC,2025-11-07,15750,15750,15750,15750,0
ECOC,2025-11-10,15200,15500,15200,15500,1141
ECOC,2025-11-11,15500,15500,15500,15500,1046
ECOC,2025-11-12,15500,15500,15200,15200,2552
ECOC,2025-11-13,15740,15740,15210,15210,3281
ECOC,2025-11-14,15215,15240,15215,15240,1099
ECOC,2025-11-17,15280,15900,15280,15900,326
ECOC,2025-11-18,15500,15900,15500,15900,543
ECOC,2025-11-19,15600,15900,15600,15900,1840
ECOC,2025-11-20,15800,16000,15800,16000,793
ECOC,2025-11-21,16020,16020,15300,15300,1181
ECOC,2025-11-24,15300,15300,15300,15300,2751
ECOC,2025-11-25,15300,15700,15300,15700,7433
ECOC,2025-11-26,15500,15500,15500,15500,1623
ECOC,2025-11-27,16390,16390,15500,15500,1266
NEIC,2025-09-29,655,680,655,680,1162
NEIC,2025-09-30,660,680,660,680,1608
NEIC,2025-10-01,680,680,660,660,693
NEIC,2025-10-02,685,685,685,685,1936
NEIC,2025-10-03,690,690,685,685,207
NEIC,2025-10-06,680,680,660,660,1588
NEIC,2025-10-07,655,655,655,655,1160
NEIC,2025-10-08,655,685,655,685,702
NEIC,2025-10-09,690,690,685,685,763
NEIC,2025-10-10,685,690,685,690,1125
NEIC,2025-10-13,690,690,670,670,6200
